Last name,Latin first name,First name,Middle name,Order,Session I,Session II,Session III,Session IV,Wikipedia,Wikidata,VIAF,Worldcat identities,Find a Grave,Catholic Hierarchy,Selected mention,Status,# wikipedia pages,Country of origin/Country represented,Birth year,Death year,Age at start of council,Age at death,Highest Episcopal Title,Sainthood,Important,Photo no reuse,Photo reuse,Change during council,Memoir on the council,Typo,Credibly accused? (USA only),Humanae Vitae,Ethics Watch,Left priesthood,Notes
Varalta,Zaccaria a S. Mauro,Zaccaria,null,OFM Capuchin,1,1,1,1,null,null,http://viaf.org/viaf/89502569,https://www.worldcat.org/identities/viaf-89502569/,null,null,Mentioned in article,council,0,Italy,null,null,null,null,null,null,null,null,null,null,null,yes (missing last name),no,null,null,null,
Verardo,Raimundus,Angelo,Raimondo,OP,1,1,1,1,https://it.wikipedia.org/wiki/Angelo_Raimondo_Verardo,https://www.wikidata.org/wiki/Q3617180,http://viaf.org/viaf/89045318,https://worldcat.org/identities/viaf-89045318/,null,https://www.catholic-hierarchy.org/bishop/bverardo.html,null,council,1,Italy,1913,1999,49,86,Bishop,null,null,null,https://upload.wikimedia.org/wikipedia/commons/b/bf/Angelo_Raimondo_Verardo.jpg,null,null,null,null,null,null,null,
Vermeersch,Leopoldus,Leopold,null,PA,1,1,1,1,null,null,null,null,null,null,Mentioned in book,council,0,Belgium,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,
Vigano,Cattaneo Aegidius,Egidio,null,SDB,1,1,1,1,https://en.wikipedia.org/wiki/Egidio_Vigan%C3%B2,https://www.wikidata.org/wiki/Q252955,http://viaf.org/viaf/54958161,https://worldcat.org/identities/lccn-nr94026468/,null,null,Obituary,council,5,Italy,1920,1995,42,75,null,null,null,https://archive.sdb.org/image/vigano_old.jpg,null,null,null,null,null,null,null,null,
Violardo,Iacobus,Giacomo,null,null,1,1,1,1,https://en.wikipedia.org/wiki/Giacomo_Violardo,https://www.wikidata.org/wiki/Q970172,http://viaf.org/viaf/88747419,https://worldcat.org/identities/viaf-88747419/,https://www.findagrave.com/memorial/27651184/giacomo-violardo,https://www.catholic-hierarchy.org/bishop/bviolardo.html,null,council,12,Italy,1898,1978,64,80,Cardinal,null,null,https://cardinals.fiu.edu/tn_violardo_jpg.jpg,null,null,null,null,null,null,null,null,
Visser,Ioannes,Jan,null,CSSR,1,1,1,1,null,null,http://viaf.org/viaf/75303085,https://worldcat.org/identities/lccn-no2003063843/,null,null,null,council,0,Netherlands,1931,null,31,null,null,null,null,null,https://thecatholicnewsarchive.org/?a=d&d=CTR19760123-01.2.72&srpos=3&e=-------en-20--1-byDA.rev-txt-txIN-%22jan+Visser%22-------,null,null,null,null,"disobedient on contraception/Humanae Vitae, member of the Humanae Vitae commission",null,null,
Vito,,Francesco,null,null,null,null,null,null,https://it.wikipedia.org/wiki/Francesco_Vito,https://www.wikidata.org/wiki/Q3750811,http://viaf.org/viaf/17316976,https://www.worldcat.org/identities/lccn-n91106381/,null,null,Mentioned in article,private,5,Italy,1902,1968,60,66,null,null,null,null,null,null,null,null,null,null,null,null,
Vogt,Vilfridus,Wilfred,null,OMI,0,1,1,1,null,null,null,null,null,null,Mentioned in article,council,0,Netherlands,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,
Volkmann,Villelmus,Wilhelm,null,null,0,0,0,1,null,null,null,null,null,null,Mentioned in article,council,0,Germany,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,
Von Euw,Carolus,Charles,K,null,1,1,1,1,null,null,null,null,https://www.findagrave.com/memorial/223293086/charles-k-von_euw,null,Mentioned in article,council,0,USA,1923,1969,39,46,null,null,null,null,https://thecatholicnewsarchive.org/?a=d&d=ncr19651208-01.2.44&srpos=7&e=-------en-20--1-byDA.rev-txt-txIN-Von+Euw-------,null,null,null,no,null,null,null,
