Last name,Latin first name,First name,Middle name,Order,Session I,Session II,Session III,Session IV,Wikipedia,Wikidata,VIAF,Worldcat identities,Find a Grave,Catholic Hierarchy,Selected mention,Status,# wikipedia pages,Country of origin/Country represented,Birth year,Death year,Age at start of council,Age at death,Highest Episcopal Title,Sainthood,Important,Photo no reuse,Photo reuse,Change during council,Memoir on the council,Typo,Credibly accused? (USA only),Humanae Vitae,Ethics Watch,Left priesthood,Notes
Khalife,Ignatius,Ignace,Abdo,SJ,1,1,1,1,https://en.wikipedia.org/wiki/Ignace_Abdo_Khalif%C3%A9,https://www.wikidata.org/wiki/Q1456271,http://viaf.org/viaf/23363308,https://worldcat.org/identities/lccn-nr94029729/,null,http://www.catholic-hierarchy.org/bishop/bkhalife.html,null,council,4,Lebanon,1914,1998,48,84,Bishop,null,null,null,null,null,null,null,null,null,null,null,
King,Ioannes,John,null,OMI,0,1,1,1,null,null,null,null,null,null,Subject of article,council,0,USA,1928,2015,34,87,null,null,null,null,null,null,null,null,no,null,null,null,
Klempa,Alexander,Sandor,null,O Praem,1,1,1,1,https://hu.wikipedia.org/wiki/Klempa_S%C3%A1ndor,https://www.wikidata.org/wiki/Q29272484,http://viaf.org/viaf/65000675,https://worldcat.org/identities/viaf-65000675/,null,http://www.catholic-hierarchy.org/bishop/bklempa.html,null,council,1,Hungary,1898,1985,64,87,Bishop,null,null,https://sematizmus.vefleveltar.hu/sites/default/files/EgyhaziSzemelyek/4195_j9_klempa_s.jpg,null,null,null,null,null,null,null,null,"wrote on shakespeare, wrote operettas"
Kloppenburg,Boaventura,Carlos,null,OFM,1,1,1,1,https://en.wikipedia.org/wiki/Carlos_Kloppenburg,https://www.wikidata.org/wiki/Q87506,http://viaf.org/viaf/79328298,https://worldcat.org/identities/lccn-n79114027/,null,http://www.catholic-hierarchy.org/bishop/bklop.html,Obituary,council,5,Germany,1919,2009,43,90,Bishop,null,null,https://franciscanos.org.br/quemsomos/wp-content/uploads/2018/11/Boaventura-Kloppenburg.jpg,null,null,9780819904843,null,null,null,null,null,
Klostermann,Ferdinandus,Ferdinand,null,null,1,1,1,1,https://de.wikipedia.org/wiki/Ferdinand_Klostermann,https://www.wikidata.org/wiki/Q1405496,http://viaf.org/viaf/27863293/,https://worldcat.org/identities/lccn-n50043430/,null,null,Obituary,council,1,Austria,1907,1982,55,75,null,null,null,https://quart-online.at/wp-content/uploads/2020/02/q2007_03_36.pdf,null,null,null,null,null,disobedient on contraception/Humanae Vitae,null,null,detained by Gestapo
Koester,Villelmus,Wilhelm,null,SJ,0,0,1,1,null,null,http://viaf.org/viaf/46153651737955781660,https://worldcat.org/identities/viaf-46153651737955781660/,https://www.findagrave.com/memorial/230225539/wilhelm-k%C3%B6ster,null,Mentioned in article,council,0,Germany,1890,1971,72,81,null,null,null,null,null,null,null,null,null,null,null,null,
Kowalsky,Nicolaus,Nikolaus,null,OMI,0,0,1,1,null,https://www.wikidata.org/wiki/Q59533160,http://viaf.org/viaf/88987748,https://worldcat.org/identities/lccn-n84058644/,null,null,null,council,0,Germany,1911,1966,51,55,null,null,null,null,null,null,null,null,null,null,null,null,
Kung,Ioannes,Hans,null,null,1,1,1,1,https://en.wikipedia.org/wiki/Hans_K%C3%BCng,https://www.wikidata.org/wiki/Q123010,http://viaf.org/viaf/108211354,https://worldcat.org/identities/lccn-n79022114/,https://www.findagrave.com/memorial/225385555/hans-k%C3%BCng,null,Obituary,council,42,Switzerland,1928,2021,34,93,null,null,yes,null,https://en.wikipedia.org/wiki/Hans_K%C3%BCng#/media/File:K%C3%BCng3.JPG,null,OCLC: 404452,null,null,null,forbidden to teach,null,
Labourdette,Michael,Michel,null,OP,1,1,1,1,https://fr.wikipedia.org/wiki/Michel_Labourdette,https://www.wikidata.org/wiki/Q59533169,http://viaf.org/viaf/89186714,https://worldcat.org/identities/lccn-no2011081250/,null,null,Subject of book,council,2,France,1908,1990,54,82,null,null,null,null,null,null,null,null,null,null,null,null,editor of the Revue Thomiste
Lafortune,Petrus,Pierre,null,null,1,1,1,1,null,null,http://viaf.org/viaf/106607421,https://www.worldcat.org/identities/viaf-106607421/,null,null,null,council,0,Canada,1926,1984,36,58,null,null,null,null,null,null,null,null,no,null,null,null,
Lambert,Bernardus,Bernard,null,OP,0,0,1,1,null,null,https://viaf.org/viaf/105069978/,https://worldcat.org/identities/lccn-no2009081272/,null,null,Mentioned in article,council,0,Canada,1921,2004,41,83,null,null,null,null,null,null,OCLC: 7722431,null,null,null,null,null,
Lambruschini,Ferdinandus,Ferdinando,null,null,1,1,1,1,https://it.wikipedia.org/wiki/Ferdinando_Lambruschini,https://www.wikidata.org/wiki/Q3742618,http://viaf.org/viaf/304143515,null,null,https://www.catholic-hierarchy.org/bishop/blamf.html,null,council,1,Italy,1911,1981,51,70,Bishop,null,null,null,https://it.wikipedia.org/wiki/Ferdinando_Lambruschini#/media/File:Ferdinando-Lambruschini.jpg,null,null,null,null,said Humanae Vitae was not infallible,null,null,"proclaimed Humanae Vitae to journalists, said HV was not infallible"
Landi,Andreas,Andrew,P,null,1,1,1,1,null,null,null,null,https://www.findagrave.com/memorial/173450896/andrew-landi,null,Obituary,council,0,USA,null,1999,null,null,null,null,null,null,null,null,null,null,no,null,null,null,
Landucci,Petrus Carolus,Pier,Carlo,null,0,1,1,1,https://it.wikipedia.org/wiki/Pier_Carlo_Landucci,https://www.wikidata.org/wiki/Q3902846,http://viaf.org/viaf/151854556,https://worldcat.org/identities/viaf-151854556/,https://www.findagrave.com/memorial/29706936/pier-carlo-landucci,null,Subject of article,council,1,Italy,1900,1986,62,86,null,Servant of God,null,https://images.findagrave.com/photos250/photos/2008/253/29706936_122105789514.jpg,null,null,null,null,no,null,null,null,
Lattanzi,Hugo,Ugo,null,null,1,1,1,1,null,https://www.wikidata.org/wiki/Q93252877,http://viaf.org/viaf/255291942,https://worldcat.org/identities/lccn-no96002303/,null,null,Mentioned in article,council,0,Italy,1899,1971,63,72,null,null,null,null,null,null,null,null,null,null,null,null,
Laubacher,Iacobus,James,Auseon,PSS,0,1,1,1,null,null,http://viaf.org/viaf/193456788,https://worldcat.org/identities/viaf-193456788/,https://www.findagrave.com/memorial/54006896/james-a-laubacher,null,Biography (article),council,0,USA,1908,1987,54,79,null,null,null,http://sulpicians.org/wp-content/uploads/LAUBACHER-James-A-1-11-1987-front.jpg,null,null,null,null,no,null,null,null,
Laurentin,Renatus,Rene,null,null,1,1,1,1,https://en.wikipedia.org/wiki/Ren%C3%A9_Laurentin,https://www.wikidata.org/wiki/Q350754,http://viaf.org/viaf/27067219,https://worldcat.org/identities/lccn-n79112995/,https://www.findagrave.com/memorial/242209678/ren%C3%A9-laurentin,null,null,council,11,France,1917,2017,45,100,null,null,null,null,https://en.wikipedia.org/wiki/Ren%C3%A9_Laurentin#/media/File:Ren%C3%A9_Laurentin_2.TIF,null,null,null,null,null,null,null,Mariologist
Le Bourgeois,Armandus,Armand-Francois,null,CJM,0,1,1,1,https://en.wikipedia.org/wiki/Armand-Fran%C3%A7ois_Le_Bourgeois,https://www.wikidata.org/wiki/Q4792635,http://viaf.org/viaf/51692043,https://worldcat.org/identities/lccn-n88664970/,null,https://www.catholic-hierarchy.org/bishop/bleb.html,Biography (article),council,4,France,1911,2005,51,94,Bishop,null,null,https://www.visages-diocese-autun.fr/wp-content/uploads/2016/02/le_bourgeois.jpg,null,null,9782220051833,null,null,null,null,null,
Lebret,Aloisius Ioseph,Louis-Joseph,null,OP,0,0,1,1,https://en.wikipedia.org/wiki/Louis-Joseph_Lebret,https://www.wikidata.org/wiki/Q3260648,http://viaf.org/viaf/12311143,https://worldcat.org/identities/lccn-n87810335/,null,null,null,council,8,France,1897,1966,65,69,null,null,null,null,https://commons.wikimedia.org/wiki/File:Lebret_Colombie.jpg,null,null,null,null,null,null,null,naval officer
Lecuyer,Ioseph,Joseph,null,CSSP,1,1,1,1,null,https://www.wikidata.org/wiki/Q85773932,http://viaf.org/viaf/71393782,https://worldcat.org/identities/lccn-n82239200/,null,null,Biography (article),council,0,France,1912,1983,50,71,Superior General,null,null,https://spiritanroma.org/wp-content/uploads/2018/02/Supgen19-Lecuyer.jpg,null,null,null,null,null,null,null,null,previous Superior General was Marcel Lefebvre
Ledwolorz,Adolfus,Adolfo,null,OFM,1,1,1,1,null,null,http://viaf.org/viaf/120145066480266590328,https://worldcat.org/identities/viaf-120145066480266590328/,null,null,Biography (footnote),council,0,Poland,1892,1973,70,81,null,null,null,null,null,null,null,null,null,null,null,null,
Leeming,,Bernard,null,null,null,null,null,null,null,https://www.wikidata.org/wiki/Q59529772,http://viaf.org/viaf/36497987,https://www.worldcat.org/identities/lccn-no95005474/,https://www.findagrave.com/memorial/170775477/bernard-leeming,null,Subject of article,private,0,England,1893,1971,69,78,null,null,null,null,null,null,null,null,null,null,null,null,
Leetham,Claudius,Claude,null,IC,0,1,1,1,null,https://www.wikidata.org/wiki/Q113805686,http://viaf.org/viaf/70304646,https://worldcat.org/identities/lccn-n83126601/,null,null,null,council,0,England,1899,1970,63,71,null,null,null,null,null,null,null,null,null,null,null,null,
Lefebvre,Carolus,Charles,null,null,1,1,1,1,null,https://www.wikidata.org/wiki/Q55621740,http://viaf.org/viaf/31999140,https://www.worldcat.org/identities/lccn-n81029824/,null,null,null,council,0,France,1904,1989,58,85,null,null,null,null,null,null,null,null,no,null,null,null,
Leinfelder,Philippus,Philip,null,null,1,1,1,1,null,null,null,null,https://www.findagrave.com/memorial/124321481/philip-j-leinfelder,null,Mentioned in article,council,0,USA,1915,2000,47,85,null,null,null,null,null,null,null,null,no,null,null,null,
Lemercier,,Gregorio,null,null,null,null,null,null,https://es.wikipedia.org/wiki/Gregorio_Lemercier,https://www.wikidata.org/wiki/Q58876334,http://viaf.org/viaf/266531140,https://www.worldcat.org/identities/viaf-266531140/,null,null,Mentioned in article,private,1,Belgium,1912,1987,50,75,null,null,null,null,null,null,null,null,null,null,highly questionable,yes,
Lentini,Sebastianus,Sebastiano,null,null,1,1,1,1,null,null,http://viaf.org/viaf/75153651665155780051,https://www.worldcat.org/identities/viaf-75153651665155780051/,null,null,null,council,0,Italy,null,null,null,null,null,null,null,null,null,null,null,null,no,null,null,null,
Lessard,Raimundus,Raymond,William,null,1,1,1,1,https://en.wikipedia.org/wiki/Raymond_W._Lessard,https://www.wikidata.org/wiki/Q2134284,http://viaf.org/viaf/313484862,null,https://www.findagrave.com/memorial/156711370/raymond-william-lessard,https://www.catholic-hierarchy.org/bishop/blessard.html,Obituary,council,7,USA,1930,2016,32,86,Bishop,null,null,https://www.lorneandsons.com/fh_live/13900/13901/images/obituaries/3542972_fbs.jpg,null,null,null,null,no,null,null,null,
Levesque,Carolus Henricus,Charles,Henri,null,1,1,1,1,https://fr.wikipedia.org/wiki/Charles-Henri_L%C3%A9vesque,null,http://viaf.org/viaf/104723638,https://worldcat.org/identities/viaf-104723638/,null,https://www.catholic-hierarchy.org/bishop/blevc.html,null,council,1,Canada,1921,1984,41,63,Bishop,null,null,http://www.patrimoinesaintfrancois.org/_Media/scp-diapos-619-web_med_hr.jpeg,null,appointed bishop,null,null,null,null,null,null,
Ligutti,Aloisius,Luigi,null,null,1,1,1,1,null,https://www.wikidata.org/wiki/Q55721275,http://viaf.org/viaf/89646793,https://worldcat.org/identities/lccn-n81120611/,https://www.findagrave.com/memorial/14654732/luigi-g-ligutti,null,Encyclopedia entry,council,0,USA,1895,1983,67,88,null,null,null,https://prabook.com/web/show-photo-icon.jpg?id=2804618&width=220&cache=false,null,null,null,null,null,null,null,null,Yzermans was his biographer
Limoges,Raimundus,Raymond,null,null,0,1,1,1,null,null,null,null,null,null,Author of letter,council,0,Canada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,
Lio,Ermengildus,Ermenegildo,null,OFM,1,1,1,1,null,https://www.wikidata.org/wiki/Q85770236,http://viaf.org/viaf/80561595,https://worldcat.org/identities/lccn-n86058837/,null,null,null,council,0,Italy,1920,1992,42,72,null,null,null,null,null,null,null,null,null,obedient on contraception/Humanae Vitae,null,null,
Loizeau,Eugenius,Eugene,null,null,1,1,1,1,null,null,null,https://worldcat.org/identities/viaf-285881776/,null,null,Mentioned in article,council,0,France,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,
Lonergan,Bernardus,Bernard,null,SJ,0,0,1,1,https://en.wikipedia.org/wiki/Bernard_Lonergan,https://www.wikidata.org/wiki/Q530983,http://viaf.org/viaf/71394131,https://worldcat.org/identities/lccn-n79142733/,https://www.findagrave.com/memorial/93761520/bernard-joseph_francis-lonergan,null,null,council,19,Canada,1904,1984,58,80,null,null,yes,null,https://en.wikipedia.org/wiki/Bernard_Lonergan#/media/File:Bernard_Lonergan_SJ.jpg,null,null,null,null,null,unclear,null,
Long,,John F.,F,SJ,null,null,null,null,null,null,null,null,null,null,Obituary,private,0,USA,1925,2005,37,80,null,null,null,null,null,null,null,null,no,null,null,null,
Lopes da Cruz,Emmanuel,Manuel  ,null,null,1,1,1,1,https://pt.wikipedia.org/wiki/Manuel_Lopes_da_Cruz,https://www.wikidata.org/wiki/Q10324324,http://viaf.org/viaf/16120852,https://worldcat.org/identities/lccn-n82123238/,null,null,null,council,1,Portugal,1899,1969,63,70,null,null,null,null,null,null,null,null,null,null,null,null,
Lores,Vincentius,Vicente,null,Sac OP Dioc,1,1,1,1,null,null,null,null,null,null,Mentioned in article,council,0,Spain,null,null,null,null,null,null,null,null,null,null,null,null,no,null,null,null,
Loubet,Ioseph,Nicet-Joseph,null,FSC,0,1,1,1,null,null,null,null,www.findagrave.com/memorial/160157541/nicet-joseph-loubet,null,Subject of article,council,0,France,1898,1999,64,101,null,null,null,https://fsc46gc.lasalle.org/wp-content/uploads/2020/04/22-superiores-generales.jpg,null,null,null,yes (names flipped),null,null,null,null,
Lumbreras,Petrus,Pedro,null,OP,1,1,1,1,null,https://www.wikidata.org/wiki/Q93250317,http://viaf.org/viaf/16894351,https://worldcat.org/identities/lccn-no2002066496/,null,null,Subject of article,council,0,Spain,1892,1970,70,78,null,null,null,null,null,null,null,null,null,null,null,null,
Maccarrone,Michael,Michele,null,null,1,1,1,1,https://de.wikipedia.org/wiki/Michele_Maccarrone,https://www.wikidata.org/wiki/Q21597730,http://viaf.org/viaf/2515610,https://worldcat.org/identities/lccn-n86098136/,null,null,null,council,1,Italy,1897,1993,65,96,null,null,null,null,null,null,null,null,null,null,null,null,
Mackenzie,Rodericus,Roderick,null,SJ,0,0,1,1,https://de.wikipedia.org/wiki/Roderick_Andrew_Francis_MacKenzie,https://www.wikidata.org/wiki/Q56605136,http://viaf.org/viaf/98023832,https://worldcat.org/identities/lccn-n89667908/,null,null,null,council,1,Canada,1911,1994,51,83,null,null,null,null,null,null,null,null,null,null,null,null,"biblical scholar,  editor in chief of Biblica, associate editor of the Catholic Biblical Quarterly, consultant for the New Catholic Encyclopaedia"
Madden,Iacobus,null,null,null,0,0,1,1,null,null,null,null,null,null,null,council,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,
Malak,Ioannes,Youannes,null,null,1,1,1,1,null,https://www.wikidata.org/wiki/Q64732343,null,null,null,https://www.catholic-hierarchy.org/bishop/bmalak.html,null,council,0,Egypt,1916,1985,46,69,Bishop,null,null,null,null,null,null,null,null,null,null,null,
Maly,Eugenius,Eugene,null,null,1,1,1,1,null,null,http://viaf.org/viaf/98493425,https://worldcat.org/identities/lccn-n81139404/,https://www.findagrave.com/memorial/75280579/eugene-harry-maly,null,Archival collection,council,0,USA,1920,1982,42,62,null,null,null,null,null,null,null,null,no,null,null,null,biblical scholar; seminary library named after him
Mansourati,Ignatius,Clement,Ignace,null,1,0,0,0,https://de.wikipedia.org/wiki/Cl%C3%A9ment_Ignace_Mansourati,https://www.wikidata.org/wiki/Q64751494,null,null,null,https://www.catholic-hierarchy.org/bishop/bmans.html,null,council,1,Turkey,1917,1982,45,65,Bishop,null,null,null,null,appointed bishop,null,null,null,null,null,null,
Manteau-Bonamy,Henricus,Henri-Marie,null,OP,0,0,1,1,null,https://www.wikidata.org/wiki/Q93239783,http://viaf.org/viaf/51692814,https://worldcat.org/identities/lccn-n86003287/,null,null,Biography (article),council,0,France,1916,1999,46,83,null,null,null,null,null,null,null,null,null,null,null,null,
Mariani,Bonaventura,Bonaventura,null,OFM,0,0,1,1,null,https://www.wikidata.org/wiki/Q93267320,http://viaf.org/viaf/64456197,https://worldcat.org/identities/lccn-no2008120312/,null,null,null,council,0,Italy,1902,null,60,null,null,null,null,null,null,null,null,null,null,null,null,null,
Mariani,Godefridus,Goffredo,null,null,1,1,1,1,null,null,http://viaf.org/viaf/89194605,https://www.worldcat.org/identities/viaf-89194605/,null,null,Mentioned in book,council,0,Italy,null,null,null,null,null,null,null,null,null,null,null,null,no,null,null,null,
Marini,,Piero,null,null,null,null,null,null,https://en.wikipedia.org/wiki/Piero_Marini,https://www.wikidata.org/wiki/Q662028,http://viaf.org/viaf/15597272,https://worldcat.org/identities/lccn-n2007019489/,null,https://www.catholic-hierarchy.org/bishop/bmarini.html,null,private,16,Italy,1942,living,20,null,Bishop,null,yes,null,https://www.wikidata.org/wiki/Q662028#/media/File:MariniFotoThalerTamas.jpg,null,9780814630358 and 9781579921194,null,null,null,null,null,
Martegani,Iacobus,Giacomo,null,SJ,0,0,0,1,null,null,http://viaf.org/viaf/89189937,null,null,null,Biography (article),council,0,Italy,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,
Martil,Germanus,Hermanos,null,Sac OP Dioc,1,1,1,1,null,null,null,null,null,null,Mentioned in article,council,0,Spain,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,
Martimort,Amatus Iacobus,Aime-Georges,null,null,1,1,1,1,https://fr.wikipedia.org/wiki/Aim%C3%A9-Georges_Martimort,https://www.wikidata.org/wiki/Q16031879,http://viaf.org/viaf/108984903,https://worldcat.org/identities/lccn-n83026101/,null,null,Institute in his name,council,1,France,1911,2000,51,89,null,null,yes,null,https://commons.wikimedia.org/wiki/File:Aim%C3%A9-Georges_Martimort_par_Lothar_Wolleh.jpg ,null,null,null,null,null,null,null,important to the Liturgical Movement
Martinez de Antonana,Gregorius,Gregorio,null,CMF,1,1,1,1,https://es.wikipedia.org/wiki/Gregorio_Mart%C3%ADnez_de_Anto%C3%B1ana,https://www.wikidata.org/wiki/Q16572611,http://viaf.org/viaf/87867330,https://www.worldcat.org/identities/viaf-87867330/,null,null,Subject of book,council,1,Spain,1885,1971,77,86,null,null,null,null,null,null,null,yes (religious order spelled as CFM),no,null,null,null,
Mascarenhas,Roxo Robertus,Roberto,Roxo,null,0,0,1,1,null,null,http://viaf.org/viaf/121232215,null,null,null,null,council,0,Brazil,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,
Masi,Robertus,Roberto  ,null,null,1,1,1,1,null,https://www.wikidata.org/wiki/Q88528548,http://viaf.org/viaf/9505604,https://worldcat.org/identities/lccn-no2002008336/,null,null,null,council,0,Italy,1914,1969,48,55,null,null,null,null,null,null,null,null,null,null,null,null,
Massimi,Ioseph,Giuseppe,null,null,0,0,0,1,null,null,null,null,null,null,Mentioned in article,council,0,Italy,null,null,null,null,null,null,null,null,null,null,null,null,no,null,null,null,
Mathieu,Carolus,Charles,null,null,0,0,1,1,null,null,http://viaf.org/viaf/103934284,null,null,null,null,council,0,France,1924,null,38,null,null,null,null,null,null,null,null,null,null,null,null,null,
Mattioli,Petrus,Pietro,null,null,1,1,1,1,null,null,null,null,null,null,Mentioned in article,council,0,Italy,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,
Mauro,Antonius,Antonio,null,null,1,1,1,1,https://it.wikipedia.org/wiki/Antonio_Mauro,https://www.wikidata.org/wiki/Q3619867,http://viaf.org/viaf/161691785,https://worldcat.org/identities/viaf-161691785/,null,https://www.catholic-hierarchy.org/bishop/bmauro.html,null,council,2,Italy,1914,2001,48,87,Bishop,null,null,null,null,null,null,null,null,null,null,null,
Mayer,Augustinus,Paul,Augustin,OSB,1,1,1,1,https://en.wikipedia.org/wiki/Paul_Augustin_Mayer,https://www.wikidata.org/wiki/Q61035,http://viaf.org/viaf/115009621/,https://worldcat.org/identities/lccn-n93061850/,https://www.findagrave.com/memorial/62574799/paul-augustin-mayer,https://www.catholic-hierarchy.org/bishop/bmayerpa.html,null,council,21,Germany,1911,2010,51,99,Cardinal,null,null,null,https://en.wikipedia.org/wiki/Paul_Augustin_Mayer#/media/File:Paul_Augustin_Mayer.jpg,null,null,null,null,null,null,null,
McCormick,Ioannes,John,P,PSS,1,1,1,1,null,null,http://viaf.org/viaf/88744413,null,https://www.findagrave.com/memorial/54006956/john-p-mccormick,null,Biography (article),council,0,USA,1904,1981,58,77,null,null,null,http://sulpicians.org/wp-content/uploads/McCORMICK-John-P-10-10-1981-front.jpg,null,null,null,null,no,null,null,null,"rector of the Sulpician seminary in Washington, DC"
McDevitt,Antonius,Anthony,null,null,0,1,1,1,null,null,null,null,null,null,Obituary,council,0,USA,1925,2010,37,85,null,null,null,null,null,null,null,null,no,null,null,null,
McDonald,Villelmus,William,Joseph,null,1,1,1,1,https://en.wikipedia.org/wiki/William_Joseph_McDonald,https://www.wikidata.org/wiki/Q16012292,http://viaf.org/viaf/52741462,https://worldcat.org/identities/lccn-n87895377/,https://www.findagrave.com/memorial/12212859/william-joseph-mcdonald,http://www.catholic-hierarchy.org/bishop/bmcdow.html,Obituary,council,5,USA,1904,1989,58,85,Bishop,null,null,null,https://thecatholicnewsarchive.org/?a=d&d=cst19550107-01.2.62&srpos=1&e=-------en-20--1--txt-txIN-%22William+Joseph+McDonald%22-------,appointed bishop,null,null,null,null,null,null,worked on the New Catholic Encyclopedia
McGraw,Ioannes,John,null,null,1,1,1,1,null,null,null,null,null,null,Mentioned in article,council,0,USA,null,null,null,null,null,null,null,null,null,null,null,null,no,null,null,null,
McManus,Fridericus,Frederick,null,null,1,1,1,1,https://en.wikipedia.org/wiki/Frederick_R._McManus,https://www.wikidata.org/wiki/Q1452974,http://viaf.org/viaf/115489884,https://worldcat.org/identities/lccn-n87936995/ ,https://www.findagrave.com/memorial/158674056/frederick-r-mcmanus,null,Obituary,council,4,USA,1923,2005,39,82,null,null,yes,null,https://en.wikipedia.org/wiki/Frederick_R._McManus#/media/File:Monsignor_Frederick_R._McManus.png,null,9781579921194,null,no,null,null,null,
McReavy,Laurentius,Lawrence,Leslie,null,1,1,1,1,null,https://www.wikidata.org/wiki/Q111311101,http://viaf.org/viaf/301324740,https://worldcat.org/identities/lccn-no00101077/,null,null,Archival collection,council,0,England,1902,1990,60,88,null,null,null,null,null,null,9780907077671,null,null,null,null,null,
Medeiros,Humbertus Sousa,Humberto,Sousa,null,1,1,1,1,https://en.wikipedia.org/wiki/Humberto_Sousa_Medeiros,https://www.wikidata.org/wiki/Q976773,http://viaf.org/viaf/8712307,https://worldcat.org/identities/lccn-n81099032/,https://www.findagrave.com/memorial/16282323/humberto-sousa-medeiros,https://www.catholic-hierarchy.org/bishop/bmedeiros.html,Obituary,council,13,USA,1915,1983,47,68,Bishop,null,null,null,https://en.wikipedia.org/wiki/Humberto_Sousa_Medeiros#/media/File:Cardinalhm.jpg,null,null,null,yes,null,null,null,
Mejia,Georgius,Jairo,null,null,0,1,1,1,null,null,http://viaf.org/viaf/86840712,https://worldcat.org/identities/viaf-86840712/,null,null,Mentioned in article,council,0,Colombia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,
Mestre,Ioachim,null,null,null,0,1,1,1,null,null,null,null,null,null,null,council,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,
Miano,Vincentius,Vincenzo,null,SDB,0,0,0,1,null,null,http://viaf.org/viaf/189083466,https://worldcat.org/identities/lccn-n82106071/,https://www.findagrave.com/memorial/211533822/vincenzo-miano,null,Subject of article,council,0,Italy,1910,1980,52,70,null,null,null,null,null,null,null,null,null,null,null,null,
Michiels,Gummarus,Gommarus,null,OFM Capuchin,1,1,1,0,https://pl.wikipedia.org/wiki/Gommar_Michiels,https://www.wikidata.org/wiki/Q60836196,http://viaf.org/viaf/63102882,https://worldcat.org/identities/lccn-n88167921/,null,null,Biography (article),council,1,Belgium,1890,1965,72,75,null,null,null,https://dlibra.kul.pl/dlibra/publication/39399/edition/34588/content,null,died,null,null,null,null,null,null,
Miller,,John H.,H ,CSC,null,null,null,null,null,null,null,null,null,null,Mentioned in article,private,0,USA,1925,2006,37,81,null,null,null,null,null,null,null,null,no,null,null,null,typo in newspaper; editor for the New Catholic Encyclopedia
Mitchell,Gerardus,Gerard,null,null,0,1,1,1,https://en.wikipedia.org/wiki/Gerard_Mitchell_(priest),https://www.wikidata.org/wiki/Q62015492,null,null,null,null,null,council,1,Ireland,null,1990,null,null,null,null,null,null,null,null,null,null,null,null,null,null,
Mitnacht,Alfonsus,Alfons Maria,null,OESA,0,1,1,1,null,https://www.wikidata.org/wiki/Q113766970,http://viaf.org/viaf/65090305,null,null,null,Encyclopedia entry,council,0,Germany,1894,1976,68,82,null,null,null,null,null,null,null,null,no,null,null,null,
Mizzi,Hermannus,Herman,null,OCD,1,1,1,1,null,null,null,null,null,null,Obituary,council,0,Malta,1924,2016,38,92,null,null,null,null,null,null,null,null,null,null,null,null,most interesting obituary
Moeller,Carolus,Charles,null,null,0,1,1,1,https://es.wikipedia.org/wiki/Charles_Moeller,https://www.wikidata.org/wiki/Q2959832,http://viaf.org/viaf/89800325,https://worldcat.org/identities/lccn-n50000166/,null,null,null,council,5,Belgium,1912,1986,50,74,null,null,null,null,https://thecatholicnewsarchive.org/?a=d&d=CTR19740726-01.2.34&srpos=1&e=-------en-20--1--txt-txIN-%22charles+moeller%22~1-ILLUSTRATION------,null,null,null,null,null,null,null,
Molinari,Paulus,Paolo,null,SJ,0,1,1,1,https://fr.wikipedia.org/wiki/Paolo_Molinari,https://www.wikidata.org/wiki/Q16864275,http://viaf.org/viaf/81140428,https://worldcat.org/identities/lccn-n50004166/,https://www.findagrave.com/memorial/132883399/paolo-molinari,null,Obituary,council,2,Italy,1924,2014,38,90,null,null,null,https://saltandlighttv.org/blog/wp-content/uploads/2014/05/molinari-2.jpg,null,null,null,null,null,null,null,null,
Morisset,Bernardus,Bernard,null,null,0,0,1,1,null,null,http://viaf.org/viaf/257767156,https://worldcat.org/identities/viaf-257767156/,null,null,Mentioned in book,council,0,Canada,null,null,null,null,null,null,null,null,null,null,null,null,no,null,null,null,
Morlion,Felix,Felix,null,OP,0,0,1,1,https://it.wikipedia.org/wiki/F%C3%A9lix_Morlion,https://www.wikidata.org/wiki/Q21208796,http://viaf.org/viaf/26637111,https://worldcat.org/identities/lccn-no93025311/,https://www.findagrave.com/memorial/8743424/andrew-felix-morlion,null,Subject of article,council,2,Belgium,1904,1987,58,83,null,null,null,https://images.findagrave.com/photos250/photos/2004/131/8743424_108433753104.jpg,null,null,null,null,null,null,null,null,intelligence agent
Morsdorf,Nicolaus,Klaus,null,null,0,1,1,1,https://de.wikipedia.org/wiki/Klaus_M%C3%B6rsdorf,https://www.wikidata.org/wiki/Q1745481,http://viaf.org/viaf/111349834/,https://worldcat.org/identities/lccn-n87854046/,null,null,Subject of article,council,1,Germany,1909,1989,53,80,null,null,null,https://www.kaththeol.uni-muenchen.de/ueber_die_fak/gesch_fakultaet/bilder_profs_2013/moersdorf_klaus.jpg,null,null,null,null,null,null,null,null,canonist
Mouroux,Ioannes,Jean,null,null,0,0,0,1,https://en.wikipedia.org/wiki/Jean_Mouroux,https://www.wikidata.org/wiki/Q3173633,http://viaf.org/viaf/73863393,https://worldcat.org/identities/lccn-n84192456/,null,null,null,council,3,France,1901,1973,61,72,null,null,null,null,null,null,null,null,null,null,null,null,"prolific writer, poor health"
